Geography,Percent Males; Margin of Error; Population 25 years and over - Bachelor's degree,Percent Females; Estimate; Population 25 years and over - Graduate or professional degree,Percent Females; Margin of Error; Percent high school graduate or higher,Percent Males; Margin of Error; Percent bachelor's degree or higher,Percent Females; Margin of Error; Population 45 to 64 years - High school graduate or higher,Percent Males; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Percent; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Percent Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Percent Females; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Estimate; Total
"Kootenai County, Idaho",3.1,10.2,2.0,3.3,3.0,4.0,4.8,5.6,3.3,154311
"Twin Falls County, Idaho",4.0,5.2,2.7,4.6,4.8,5.7,8.4,11.3,7.3,83514
"Adams County, Illinois",3.5,11.1,3.0,3.7,6.5,5.0,4.2,2.2,2.7,66578
"Champaign County, Illinois",2.5,22.4,1.2,3.2,2.0,4.4,7.5,7.6,2.4,208419
"Cook County, Illinois",0.5,15.4,0.4,0.5,0.6,0.9,5.4,6.0,0.5,5203499
"DeKalb County, Illinois",3.4,13.2,2.4,4.1,3.1,4.5,8.5,7.1,3.9,104528
"DuPage County, Illinois",1.2,17.7,0.5,1.2,0.8,1.5,3.2,4.1,0.9,929368
"Kane County, Illinois",1.8,13.0,1.2,1.9,1.8,2.1,3.3,2.6,1.3,531715
"Kankakee County, Illinois",1.8,8.5,2.1,2.5,3.8,3.2,2.6,3.0,2.6,110008
"Kendall County, Illinois",5.0,14.5,2.8,6.1,6.4,4.6,2.1,2.7,3.1,124695
"Lake County, Illinois",1.2,18.3,0.8,1.4,1.1,1.3,3.9,4.3,1.0,703047
"LaSalle County, Illinois",2.2,8.1,2.3,2.5,3.4,2.8,1.6,1.1,1.1,110642
"McHenry County, Illinois",2.0,11.0,1.1,2.4,1.5,1.6,3.4,3.1,1.7,307004
"McLean County, Illinois",2.7,16.4,1.2,2.9,1.2,4.3,4.1,5.7,2.8,172418
"Macon County, Illinois",2.2,8.9,2.4,3.1,2.8,4.5,2.7,3.3,2.3,106550
"Madison County, Illinois",2.3,10.1,1.3,2.8,2.3,2.2,1.7,1.9,1.1,265759
"Peoria County, Illinois",2.4,9.6,1.5,2.1,2.4,2.8,4.4,5.7,3.0,185006
"Rock Island County, Illinois",2.4,7.2,2.0,2.7,2.6,3.8,4.0,4.3,3.2,144784
"St. Clair County, Illinois",2.1,12.2,1.4,2.3,2.2,2.3,5.5,6.5,2.7,262759
"Sangamon County, Illinois",2.2,13.7,1.4,2.5,2.4,2.6,4.4,5.4,1.9,197499
"Tazewell County, Illinois",2.8,6.1,1.8,3.3,2.8,2.0,3.4,4.6,3.2,134385
"Vermilion County, Illinois",2.0,5.0,2.4,2.4,3.6,5.3,2.6,3.0,2.5,78111
"Will County, Illinois",1.5,13.6,0.9,1.5,1.4,1.0,2.6,2.5,0.8,689529
"Williamson County, Illinois",3.2,11.8,2.6,3.5,4.7,5.7,6.7,9.5,5.7,67560
"Winnebago County, Illinois",1.8,8.5,1.5,1.9,2.5,2.4,4.3,5.4,2.2,285873
"Allen County, Indiana",1.5,10.0,1.2,1.7,1.8,1.6,4.0,4.9,1.6,370404
"Bartholomew County, Indiana",3.3,13.5,3.4,3.6,4.9,7.1,3.9,5.5,4.4,81402
"Clark County, Indiana",3.1,8.0,2.4,3.6,3.8,3.7,3.6,3.4,2.2,116031
"Delaware County, Indiana",3.0,9.3,2.2,4.4,3.1,4.7,8.0,7.9,3.9,115603
"Elkhart County, Indiana",2.3,6.4,2.6,2.7,3.9,3.6,3.4,5.2,2.9,203781
"Floyd County, Indiana",3.7,10.7,2.5,3.8,4.8,2.9,1.3,1.3,1.6,76990
"Grant County, Indiana",2.7,7.0,3.5,3.8,5.5,5.2,3.5,1.4,1.9,66937
"Hamilton County, Indiana",2.8,19.9,1.1,2.9,1.4,1.8,1.6,1.7,0.7,316373
"Hancock County, Indiana",3.6,8.6,2.5,4.4,4.1,0.5,1.3,2.1,2.0,73717
"Hendricks County, Indiana",3.8,15.1,2.5,4.7,3.5,2.0,1.8,1.4,1.1,160610
"Howard County, Indiana",2.8,7.2,2.8,3.6,2.3,5.7,2.4,4.8,4.8,82568
"Johnson County, Indiana",4.4,10.6,2.6,4.6,2.8,1.9,1.0,1.6,1.5,151982
"Kosciusko County, Indiana",2.9,6.2,3.7,4.0,6.2,5.0,4.1,2.3,2.8,79092
"Lake County, Indiana",1.3,9.0,1.0,1.5,1.2,2.1,5.1,5.7,2.0,485846
"LaPorte County, Indiana",2.2,6.9,2.0,2.8,2.8,4.4,2.7,3.7,3.4,110015
"Madison County, Indiana",2.0,5.5,2.3,2.5,2.6,3.4,2.5,2.9,1.9,129296
"Marion County, Indiana",1.4,10.1,0.9,1.5,1.5,1.9,5.6,5.9,1.5,941229
"Monroe County, Indiana",3.7,19.3,2.2,4.3,3.6,6.4,7.5,6.6,3.0,145496
"Morgan County, Indiana",3.1,5.1,3.7,4.2,4.4,4.4,0.8,1.6,2.2,69698
"Porter County, Indiana",2.1,9.0,2.4,2.9,2.4,2.4,4.0,2.8,2.2,167791
"St. Joseph County, Indiana",2.2,10.9,1.8,2.6,2.2,2.8,5.6,6.3,3.5,269141
"Tippecanoe County, Indiana",3.5,14.0,1.9,3.7,2.6,3.9,5.6,5.9,3.1,188059
"Vanderburgh County, Indiana",2.3,10.1,1.8,2.8,3.5,3.3,4.8,6.5,3.1,181721
"Vigo County, Indiana",2.5,11.4,2.4,2.9,3.7,3.7,2.1,3.5,2.5,107931
"Wayne County, Indiana",2.7,6.5,2.9,3.1,4.0,7.8,3.7,4.6,3.7,66568
"Black Hawk County, Iowa",3.0,10.5,1.7,3.0,3.1,4.0,3.8,5.9,3.8,132904
"Dallas County, Iowa",4.2,14.4,1.4,5.1,3.0,2.1,1.8,0.9,1.1,84516
"Dubuque County, Iowa",2.8,9.3,2.1,3.2,3.1,3.5,4.7,8.0,2.9,97003
"Johnson County, Iowa",3.3,25.9,2.5,4.1,4.6,5.1,6.3,7.0,2.8,146547
"Linn County, Iowa",2.3,9.0,1.7,2.6,1.7,3.5,4.1,4.6,2.4,221661
"Polk County, Iowa",1.8,11.9,1.0,2.0,1.7,2.4,2.6,2.5,0.9,474045
"Pottawattamie County, Iowa",2.6,8.4,2.0,2.8,1.8,1.9,1.7,1.7,2.5,93582
"Scott County, Iowa",2.9,11.0,1.6,3.5,3.0,3.6,4.3,6.0,2.9,172474
"Story County, Iowa",4.1,24.1,1.4,5.0,2.1,6.0,4.4,3.7,3.4,97090
"Woodbury County, Iowa",2.8,8.5,2.5,3.2,3.1,3.9,5.9,8.2,6.6,102779
"Butler County, Kansas",3.8,10.6,2.0,4.5,2.2,3.2,2.9,2.2,2.3,67025
"Douglas County, Kansas",3.8,24.9,1.5,5.0,2.5,4.0,2.6,1.9,1.3,119440
"Johnson County, Kansas",1.7,19.9,0.6,1.7,1.2,1.7,2.0,1.7,0.7,584451
"Leavenworth County, Kansas",2.9,16.6,1.2,4.8,1.3,4.7,2.1,4.1,2.6,80204
"Riley County, Kansas",5.0,28.1,1.8,5.6,4.7,5.9,2.7,2.5,2.6,73343
"Sedgwick County, Kansas",1.5,11.4,1.3,1.5,2.1,1.6,4.6,4.6,1.5,511995
"Shawnee County, Kansas",2.4,12.5,1.7,3.0,2.5,4.7,2.4,3.7,2.0,178146
"Wyandotte County, Kansas",2.1,4.7,2.2,2.4,3.4,2.9,3.6,3.2,2.1,163831
"Boone County, Kentucky",4.2,10.4,2.0,4.8,2.3,1.5,2.5,4.6,3.4,128536
"Bullitt County, Kentucky",2.3,6.3,3.1,2.7,4.9,4.4,0.2,0.0,3.3,79151
"Campbell County, Kentucky",3.8,11.0,2.9,4.1,3.4,2.6,2.5,2.4,2.1,92211
"Christian County, Kentucky",3.1,7.6,3.2,3.3,6.0,4.7,6.0,7.9,6.5,72351
"Daviess County, Kentucky",3.3,10.1,2.2,3.8,3.9,4.2,5.6,3.9,3.0,99674
"Fayette County, Kentucky",2.0,19.4,1.2,2.2,2.4,2.8,5.6,6.0,1.7,318449
"Hardin County, Kentucky",2.7,9.6,2.4,3.4,5.0,6.4,6.0,7.1,4.8,107316
"Jefferson County, Kentucky",1.1,12.8,1.0,1.2,1.5,1.6,3.7,3.8,1.0,765352
"Kenton County, Kentucky",2.6,12.4,2.0,2.9,2.9,3.4,2.9,1.9,1.7,164945
"McCracken County, Kentucky",3.5,6.9,2.5,4.7,4.3,6.8,5.1,8.1,6.4,65162
"Madison County, Kentucky",3.4,12.1,3.2,4.0,4.4,7.2,9.3,9.8,5.4,89547
"Oldham County, Kentucky",3.8,16.3,1.7,3.9,1.9,3.2,0.5,0.8,0.9,65560
"Warren County, Kentucky",3.2,15.2,3.2,4.0,5.2,3.2,7.0,7.5,4.5,125532
"Ascension Parish, Louisiana",4.0,9.4,2.9,4.3,5.2,3.1,1.7,0.8,1.3,121587
"Bossier Parish, Louisiana",3.8,8.9,2.8,4.1,4.2,3.6,6.0,4.5,3.2,126057
"Caddo Parish, Louisiana",2.2,8.7,2.0,2.7,3.2,5.5,6.4,8.2,4.3,248851
"Calcasieu Parish, Louisiana",1.7,8.0,2.2,2.7,3.9,2.5,11.6,11.3,4.7,200601
"East Baton Rouge Parish, Louisiana",2.0,12.8,1.3,2.3,1.6,2.4,5.5,7.1,2.5,447037
"Iberia Parish, Louisiana",3.3,5.0,4.4,4.4,6.3,8.0,8.1,8.7,7.3,73273
"Jefferson Parish, Louisiana",1.5,8.3,1.9,1.5,2.7,2.0,4.0,4.1,1.6,436523
"Lafayette Parish, Louisiana",2.7,8.5,2.1,3.0,3.0,4.3,5.5,5.3,2.7,241398
"Lafourche Parish, Louisiana",2.8,6.2,3.7,3.1,5.5,3.1,4.4,3.9,4.0,98305
"Livingston Parish, Louisiana",2.9,6.4,3.2,3.6,5.8,3.1,4.0,6.4,5.6,140138
"Orleans Parish, Louisiana",1.6,16.8,1.3,1.7,2.0,3.3,6.9,7.7,1.4,391495
"Ouachita Parish, Louisiana",2.6,9.1,2.2,2.8,3.9,4.1,4.6,4.7,3.8,156983
"Rapides Parish, Louisiana",2.8,7.9,2.8,3.0,3.1,6.4,2.7,2.0,1.4,132424
"St. Landry Parish, Louisiana",2.8,3.9,3.7,3.2,6.0,6.2,3.0,2.5,2.8,83883
"St. Tammany Parish, Louisiana",2.3,10.3,1.7,3.0,2.6,1.8,3.8,3.9,2.4,253602
"Tangipahoa Parish, Louisiana",3.2,7.1,4.2,3.1,5.3,6.0,4.6,7.7,6.2,130710
"Terrebonne Parish, Louisiana",3.0,3.7,3.3,3.3,4.4,6.3,2.6,3.5,4.6,113220
"Androscoggin County, Maine",3.1,9.1,2.5,3.1,3.3,2.7,3.5,5.0,3.8,107319
"Aroostook County, Maine",2.5,6.0,4.3,3.2,6.5,2.6,6.9,7.7,4.2,67959
"Cumberland County, Maine",2.5,18.5,1.1,2.9,2.3,3.8,4.1,4.6,1.3,292041
"Kennebec County, Maine",2.5,12.4,2.1,3.2,2.7,4.8,2.8,2.7,1.7,120569
"Penobscot County, Maine",2.3,8.6,1.2,2.9,1.8,2.6,6.7,5.6,3.4,151806
"York County, Maine",2.8,12.1,1.2,3.0,1.4,2.1,3.0,3.3,1.8,202343
"Allegany County, Maryland",2.8,10.3,2.2,3.3,3.4,8.1,6.0,6.3,5.6,72130
"Anne Arundel County, Maryland",1.6,18.1,0.9,2.0,1.8,2.3,2.6,2.4,1.0,568346
"Baltimore County, Maryland",1.4,16.5,0.8,1.4,1.1,1.4,3.1,3.8,0.9,831026
"Calvert County, Maryland",2.6,18.9,2.3,4.0,0.6,2.1,1.2,0.2,0.4,91251
"Carroll County, Maryland",2.4,13.1,1.9,2.9,2.7,1.6,1.7,1.7,1.2,167656
"Cecil County, Maryland",2.7,10.6,2.7,3.8,4.3,4.1,4.2,3.8,2.9,102603
"Charles County, Maryland",2.5,13.5,1.4,3.6,1.6,2.2,1.9,2.8,2.3,157705
"Frederick County, Maryland",2.2,19.5,1.4,2.3,2.3,2.1,2.7,3.0,1.4,247591
"Harford County, Maryland",2.4,15.3,1.5,2.8,1.3,1.9,2.6,2.9,1.7,251032
"Howard County, Maryland",2.1,30.4,1.2,2.4,1.6,3.7,2.0,2.6,0.9,317233
"Montgomery County, Maryland",1.1,30.0,0.8,1.2,1.0,1.6,2.9,3.4,0.6,1043863
"Prince George's County, Maryland",1.1,15.4,0.8,1.3,1.1,1.5,4.0,3.7,0.9,908049
"St. Mary's County, Maryland",2.7,9.9,2.8,3.6,3.3,3.9,0.2,0.3,0.7,112587
"Washington County, Maryland",2.0,10.2,2.3,2.6,2.8,5.7,3.0,1.6,1.5,150292
"Wicomico County, Maryland",3.6,10.7,3.0,4.4,4.5,4.4,4.8,7.6,5.3,102577
"Baltimore city, Maryland",1.4,14.7,1.2,1.7,2.1,3.0,5.9,5.7,1.2,614664
"Barnstable County, Massachusetts",2.3,17.3,1.1,2.6,1.4,2.0,4.2,5.6,2.0,214276
"Berkshire County, Massachusetts",2.4,16.4,1.6,3.2,2.2,6.3,3.6,4.4,1.7,126903
"Bristol County, Massachusetts",1.5,12.4,1.1,1.6,1.5,1.7,3.4,4.4,1.1,558324
"Essex County, Massachusetts",1.3,16.3,0.9,1.3,1.2,1.5,3.9,4.6,1.0,779018
"Franklin County, Massachusetts",3.6,20.3,1.2,4.4,2.2,2.7,4.6,6.3,3.1,70382
"Hampden County, Massachusetts",1.4,11.8,1.1,1.7,1.7,2.2,4.1,4.5,1.5,468467
"Hampshire County, Massachusetts",2.9,23.7,1.9,3.7,1.9,4.2,4.9,5.8,2.0,161816
"Middlesex County, Massachusetts",1.1,27.5,0.6,1.1,1.0,1.5,3.1,3.3,0.5,1589774
"Norfolk County, Massachusetts",1.6,24.7,0.8,1.6,1.0,1.7,3.2,3.8,1.0,697181
"Plymouth County, Massachusetts",1.6,12.8,1.0,1.9,1.5,1.6,3.8,4.2,1.7,513565
"Suffolk County, Massachusetts",1.6,20.4,1.1,1.5,2.5,3.0,8.1,10.3,1.7,784230
"Worcester County, Massachusetts",1.3,14.9,0.8,1.4,1.1,1.7,3.4,3.6,0.9,819589
"Allegan County, Michigan",2.3,6.9,1.8,2.8,2.1,3.8,2.3,4.0,2.4,115548
"Bay County, Michigan",2.1,6.6,2.2,2.5,3.0,3.5,8.6,8.3,5.4,104747
"Berrien County, Michigan",2.0,10.8,1.6,2.2,2.0,3.4,3.0,3.6,2.3,154010
"Calhoun County, Michigan",2.1,8.5,2.2,2.4,3.9,3.5,4.4,3.3,2.8,134386
"Clinton County, Michigan",2.9,13.8,1.8,3.4,1.1,4.1,2.7,2.1,1.4,77888
"Eaton County, Michigan",2.6,8.0,1.8,2.7,1.9,1.7,3.4,3.3,2.1,109160
"Genesee County, Michigan",1.4,7.5,1.1,1.8,1.7,2.3,7.2,7.4,2.4,408615
"Grand Traverse County, Michigan",3.6,14.9,1.7,4.1,2.6,3.9,3.4,5.3,3.0,92084
"Ingham County, Michigan",2.0,18.3,1.3,2.2,1.9,2.9,5.5,5.3,1.7,288051
"Isabella County, Michigan",3.3,13.6,2.3,3.6,2.5,2.0,3.7,4.7,2.5,71282
"Jackson County, Michigan",2.5,6.8,1.5,2.5,1.7,2.0,3.1,2.9,1.7,158460
"Kalamazoo County, Michigan",1.9,16.1,1.1,2.1,1.8,2.8,4.1,4.5,2.1,261654
"Kent County, Michigan",1.3,11.2,1.0,1.7,1.5,1.8,3.3,3.1,1.0,642173
"Lapeer County, Michigan",2.3,6.9,2.3,2.7,3.5,6.0,3.5,4.4,2.7,88340
"Lenawee County, Michigan",2.9,10.7,1.7,3.0,2.6,3.3,5.5,7.8,3.7,98504
"Livingston County, Michigan",2.2,10.9,1.2,2.5,1.4,1.5,3.8,3.8,1.4,188624
"Macomb County, Michigan",1.1,8.3,0.8,1.3,0.9,1.2,4.1,4.9,1.3,867730
"Marquette County, Michigan",3.1,9.8,1.5,3.3,1.3,5.3,4.7,6.0,5.1,66435
"Midland County, Michigan",3.0,11.9,1.7,3.4,2.5,2.4,2.9,4.1,2.4,83462
"Monroe County, Michigan",2.6,6.9,1.7,2.8,1.9,2.3,4.7,5.9,3.6,149208
"Muskegon County, Michigan",2.0,5.3,1.9,2.2,2.6,3.6,4.9,5.6,2.7,173408
"Oakland County, Michigan",1.0,18.5,0.6,1.1,0.8,1.1,3.6,4.1,0.6,1243970
"Ottawa County, Michigan",2.2,10.2,1.3,2.5,2.2,1.3,1.7,2.0,1.0,282250
"Saginaw County, Michigan",2.1,8.5,1.2,2.0,2.2,3.5,3.7,4.7,2.4,192326
"St. Clair County, Michigan",1.7,7.1,1.7,1.9,2.6,2.2,4.8,6.2,2.9,159587
"Shiawassee County, Michigan",2.4,6.8,1.4,2.6,2.2,2.8,3.1,3.4,2.8,68554
"Van Buren County, Michigan",2.7,8.2,2.5,2.8,3.4,5.3,2.1,3.3,3.1,75223
"Washtenaw County, Michigan",1.5,28.6,0.8,1.9,0.9,2.3,5.3,5.8,1.2,364709
"Wayne County, Michigan",0.7,9.7,0.6,0.7,1.0,1.2,5.7,5.3,0.8,1749366
"Anoka County, Minnesota",1.5,8.6,1.0,1.8,1.1,0.6,1.9,2.4,1.3,345957
"Blue Earth County, Minnesota",3.2,12.7,1.7,3.5,3.8,3.0,4.0,3.0,2.2,66441
"Carver County, Minnesota",3.1,13.7,1.3,3.2,0.9,3.0,2.5,2.0,1.4,100262
"Dakota County, Minnesota",1.9,12.6,1.1,2.0,1.3,1.3,2.5,2.6,0.9,417486
"Hennepin County, Minnesota",1.2,18.0,0.6,1.1,1.1,1.2,3.2,3.3,0.5,1232483
"Olmsted County, Minnesota",3.0,17.6,1.6,3.4,2.0,3.4,2.4,2.5,1.3,153102
"Ramsey County, Minnesota",1.3,16.4,0.9,1.8,1.5,1.8,3.8,4.7,1.2,540649
"Rice County, Minnesota",3.1,12.2,2.4,3.6,2.2,3.5,1.6,1.4,2.1,65622
"St. Louis County, Minnesota",1.8,10.0,1.7,2.0,1.7,2.5,4.2,3.2,1.6,199980
"Scott County, Minnesota",3.4,11.0,1.3,3.6,0.9,2.7,1.3,1.7,1.1,143680
"Sherburne County, Minnesota",3.6,9.3,1.6,4.2,1.9,2.0,2.3,0.9,1.4,93528
"Stearns County, Minnesota",2.2,7.9,1.5,2.5,1.6,3.3,3.6,2.5,1.6,155652
"Washington County, Minnesota",2.2,13.8,0.8,2.5,1.3,1.1,2.2,2.7,1.2,253117
"Wright County, Minnesota",3.0,9.7,1.4,3.4,3.2,1.9,1.9,2.4,1.9,132550
"DeSoto County, Mississippi",2.4,8.9,1.4,3.3,2.1,2.4,6.1,6.4,4.5,175611
"Forrest County, Mississippi",3.8,13.8,2.7,4.5,4.1,6.3,7.5,7.1,4.5,75979
"Harrison County, Mississippi",2.4,7.7,3.1,2.8,5.0,3.1,4.8,6.7,3.5,203234
"Hinds County, Mississippi",2.7,13.2,1.7,3.4,2.6,3.6,5.6,5.7,2.5,241229
"Jackson County, Mississippi",2.7,9.0,2.4,3.3,3.6,7.1,3.6,2.2,2.2,141241
"Jones County, Mississippi",3.7,9.8,4.6,4.1,6.1,3.7,1.7,2.8,3.0,67953
"Lauderdale County, Mississippi",3.5,11.5,3.3,4.3,7.0,7.6,5.4,6.4,5.9,77755
"Lee County, Mississippi",3.6,11.3,3.7,3.9,4.8,3.4,6.1,5.8,3.9,85381
"Madison County, Mississippi",4.9,19.6,2.1,5.1,2.3,4.6,3.5,4.6,2.4,105114
"Rankin County, Mississippi",3.1,10.4,1.8,3.6,3.4,2.4,1.7,2.5,1.6,150228
"Boone County, Missouri",3.3,18.2,1.2,3.5,3.0,4.8,5.2,5.7,2.2,176594
"Buchanan County, Missouri",3.6,9.1,3.1,4.1,3.3,5.9,0.8,0.8,0.8,88938
"Cape Girardeau County, Missouri",3.7,13.0,2.7,5.1,3.8,6.2,4.4,3.9,2.3,78913
"Cass County, Missouri",2.8,10.0,2.4,3.1,2.7,4.3,1.9,2.4,2.2,102845
"Christian County, Missouri",3.8,9.1,2.3,4.3,5.1,5.1,2.6,3.2,3.0,84401
"Clay County, Missouri",2.8,10.5,1.3,2.9,2.1,3.4,3.0,3.1,1.6,239085
"Cole County, Missouri",4.0,13.5,2.2,4.3,3.6,3.6,2.0,2.6,2.3,76631
"Franklin County, Missouri",3.3,7.5,2.3,3.9,2.5,2.0,0.9,1.1,1.3,102838
"Greene County, Missouri",2.1,10.9,1.5,2.1,1.9,3.2,6.1,6.7,2.4,288690
"Jackson County, Missouri",1.4,11.5,0.8,1.5,1.3,1.7,4.3,4.4,1.1,691801
"Jasper County, Missouri",2.5,5.6,3.2,2.8,5.0,6.8,8.8,12.1,8.4,119111
"Jefferson County, Missouri",2.0,5.8,1.9,2.2,2.9,1.5,2.5,1.5,1.3,224226
"Platte County, Missouri",4.1,14.8,2.2,4.6,4.3,5.0,0.7,0.0,1.0,98309
"St. Charles County, Missouri",2.0,14.1,0.9,2.1,1.2,1.7,1.3,1.8,0.7,390918
"St. Francois County, Missouri",1.8,3.2,4.1,2.5,6.1,4.3,3.2,3.7,4.5,66627
"St. Louis County, Missouri",1.2,17.9,0.7,1.4,1.1,1.7,3.3,3.7,0.7,998581
"St. Louis city, Missouri",1.6,16.5,1.6,2.1,2.8,4.3,7.4,5.1,1.5,311404
"Cascade County, Montana",2.9,7.3,2.1,3.1,4.0,3.6,5.1,6.5,5.9,81755
"Flathead County, Montana",3.0,9.2,1.5,4.0,1.8,4.5,4.7,6.0,3.7,98082
"Gallatin County, Montana",4.5,15.9,1.6,4.4,4.4,4.9,5.1,5.8,2.7,104502
"Lewis and Clark County, Montana",5.0,14.2,1.1,5.2,2.4,3.1,2.6,2.2,2.2,67282
"Missoula County, Montana",3.3,15.9,2.0,3.8,3.2,5.0,9.3,10.6,5.0,116130
"Yellowstone County, Montana",2.6,10.2,1.4,3.2,1.6,2.3,4.2,4.7,2.4,158437
"Douglas County, Nebraska",1.5,12.5,1.0,1.5,1.4,2.1,3.5,3.5,0.9,554995
