Geography,Percent Males; Margin of Error; Population 25 years and over - Bachelor's degree,Percent Females; Estimate; Population 25 years and over - Graduate or professional degree,Percent Females; Margin of Error; Percent high school graduate or higher,Percent Males; Margin of Error; Percent bachelor's degree or higher,Percent Females; Margin of Error; Population 45 to 64 years - High school graduate or higher,Percent Males; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Percent; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Percent Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Percent Females; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Estimate; Total
"Lancaster County, Nebraska",1.8,15.3,1.0,2.2,1.4,2.7,4.2,4.9,2.0,309637
"Sarpy County, Nebraska",2.5,12.3,1.4,2.4,2.2,1.7,0.8,1.1,0.7,179023
"Clark County, Nevada",0.8,7.7,0.7,0.8,1.3,1.0,6.2,7.0,1.2,2155664
"Washoe County, Nevada",1.3,11.5,1.2,1.6,2.0,2.1,2.9,3.1,1.3,453616
"Cheshire County, New Hampshire",3.4,14.4,2.4,4.3,4.4,5.0,0.2,0.0,0.1,75774
"Grafton County, New Hampshire",3.4,21.5,1.7,3.3,2.9,2.8,6.7,6.7,4.4,88888
"Hillsborough County, New Hampshire",1.8,13.6,1.1,2.1,1.4,1.9,3.9,4.4,1.4,407761
"Merrimack County, New Hampshire",2.3,15.4,1.2,2.9,2.4,4.5,1.9,2.1,1.6,148582
"Rockingham County, New Hampshire",2.3,16.0,1.0,2.6,0.7,1.0,1.4,2.1,1.3,303251
"Strafford County, New Hampshire",3.1,12.5,1.6,3.7,2.6,0.7,4.0,5.3,3.5,127428
"Atlantic County, New Jersey",1.7,9.8,1.4,2.2,2.4,3.0,3.6,3.8,1.9,270991
"Bergen County, New Jersey",1.4,17.8,0.8,1.2,1.0,1.7,3.5,3.9,0.7,939151
"Burlington County, New Jersey",1.3,13.3,1.1,1.7,1.6,1.4,2.0,1.6,0.8,449284
"Camden County, New Jersey",1.4,11.4,1.1,1.4,1.8,2.1,3.5,4.6,1.2,510150
"Cape May County, New Jersey",3.1,9.7,2.2,3.5,2.9,4.3,2.9,4.0,2.3,94430
"Cumberland County, New Jersey",1.6,4.0,3.3,1.9,4.5,4.4,9.3,10.5,4.4,153797
"Essex County, New Jersey",1.3,14.4,1.1,1.4,1.8,2.3,5.1,6.3,1.4,796914
"Gloucester County, New Jersey",1.8,11.3,1.5,2.2,3.0,2.1,2.9,3.7,1.8,292330
"Hudson County, New Jersey",1.3,15.6,1.2,1.5,2.4,2.9,6.1,5.8,1.3,677983
"Hunterdon County, New Jersey",3.3,21.7,1.6,3.6,2.2,0.6,1.5,1.7,1.0,124676
"Mercer County, New Jersey",2.1,19.0,1.2,2.1,1.5,2.4,4.0,3.7,1.3,371023
"Middlesex County, New Jersey",1.1,15.6,0.8,1.2,1.3,1.8,3.1,3.9,1.1,837073
"Monmouth County, New Jersey",1.8,17.8,0.9,1.8,1.3,2.1,2.9,3.7,1.1,625846
"Morris County, New Jersey",1.8,19.4,1.1,1.8,1.3,1.9,2.3,2.6,0.8,498423
"Ocean County, New Jersey",1.5,9.5,0.9,1.5,1.4,1.6,4.5,4.7,1.5,592497
"Passaic County, New Jersey",1.7,8.5,1.6,1.9,2.1,3.1,4.7,5.2,1.7,507945
"Salem County, New Jersey",2.4,7.0,3.1,2.9,5.2,2.1,3.0,2.7,2.7,63436
"Somerset County, New Jersey",1.9,22.1,1.4,2.0,1.6,3.2,2.5,3.7,1.5,333751
"Sussex County, New Jersey",2.5,9.8,1.3,2.5,1.8,3.8,2.1,1.8,1.2,142522
"Union County, New Jersey",1.6,12.8,1.2,1.4,1.9,2.2,3.5,4.6,1.8,555630
"Warren County, New Jersey",3.9,12.1,2.2,4.0,3.6,4.6,3.4,5.0,3.1,106617
"Bernalillo County, New Mexico",1.4,14.4,1.2,1.5,1.8,2.1,5.9,6.6,1.6,676953
"Chaves County, New Mexico",4.4,7.7,4.7,5.1,7.0,3.3,2.1,2.7,3.3,65282
"Doâ€“a Ana County, New Mexico",2.3,10.3,2.6,2.4,5.1,5.4,6.6,7.4,3.1,214207
"Lea County, New Mexico",2.5,4.3,4.5,3.0,7.7,9.0,0.6,1.0,1.7,69749
"McKinley County, New Mexico",2.4,6.0,3.8,2.4,7.0,7.5,4.4,5.9,4.0,74923
"Otero County, New Mexico",3.1,7.2,4.3,4.3,5.8,7.3,6.6,7.4,5.9,65410
"Sandoval County, New Mexico",2.2,15.6,2.0,2.7,3.8,4.3,6.4,6.2,3.1,142025
"San Juan County, New Mexico",1.9,7.6,2.3,2.5,2.9,3.5,4.0,3.6,2.8,115079
"Santa Fe County, New Mexico",2.5,19.5,2.6,2.9,3.6,5.7,4.9,4.6,1.8,148651
"Valencia County, New Mexico",3.0,7.2,4.2,3.8,4.2,4.0,1.9,2.9,3.4,75626
"Albany County, New York",2.0,21.1,1.4,2.4,2.4,2.7,3.8,5.1,1.9,308846
"Bronx County, New York",0.8,6.9,0.9,0.9,1.5,2.7,10.1,10.8,1.6,1455720
"Broome County, New York",2.3,13.6,1.7,2.9,2.2,2.9,3.8,2.7,1.6,195334
"Cattaraugus County, New York",2.2,10.6,2.3,3.3,3.1,3.9,4.1,4.6,2.6,77677
"Cayuga County, New York",2.2,9.7,2.5,2.6,4.5,3.5,3.4,1.3,1.3,77861
"Chautauqua County, New York",1.7,9.8,1.8,2.3,2.9,5.1,5.1,4.9,3.1,129504
"Chemung County, New York",2.8,14.1,2.1,3.6,3.2,5.9,6.8,8.3,4.3,86322
"Clinton County, New York",2.9,13.5,2.6,3.5,3.3,4.2,3.3,5.2,3.5,81073
"Dutchess County, New York",2.0,16.2,1.4,2.6,2.0,2.3,2.7,3.0,1.4,294473
"Erie County, New York",1.1,14.9,0.7,1.2,0.9,1.3,4.6,5.5,1.1,921046
"Jefferson County, New York",2.5,12.0,1.9,2.5,3.6,3.1,4.7,4.6,3.2,114006
"Kings County, New York",0.8,15.3,0.6,0.8,0.9,1.4,7.8,8.7,0.7,2629150
"Livingston County, New York",2.6,11.3,2.6,2.6,3.7,5.4,1.8,1.3,1.6,64257
"Madison County, New York",3.2,12.2,2.1,3.8,2.3,2.7,1.6,2.0,1.7,71329
"Monroe County, New York",1.3,17.0,1.0,1.6,1.1,2.0,4.3,4.4,1.2,747727
"Nassau County, New York",1.1,21.5,0.5,1.2,0.7,0.9,2.6,2.4,0.4,1361500
"New York County, New York",1.3,28.7,0.8,1.1,1.6,2.4,6.3,6.9,1.0,1643734
"Niagara County, New York",1.9,10.7,1.4,2.6,1.6,2.4,3.6,3.7,1.8,211758
"Oneida County, New York",1.8,11.1,1.4,2.0,2.2,2.7,4.8,5.0,2.3,231190
"Onondaga County, New York",1.5,16.6,0.9,1.6,1.3,2.3,4.3,4.2,1.1,466194
"Ontario County, New York",3.0,15.8,1.6,3.4,2.8,2.4,2.8,2.0,1.5,109828
"Orange County, New York",1.7,14.7,1.2,2.2,1.6,1.3,2.7,3.0,1.4,379210
"Oswego County, New York",1.6,10.0,2.4,2.1,3.8,3.1,4.1,2.8,2.8,118987
"Putnam County, New York",3.0,21.8,1.6,3.9,2.4,3.7,2.4,3.0,1.9,98900
"Queens County, New York",0.7,12.8,0.6,0.8,1.1,1.0,6.4,7.2,1.0,2333054
"Rensselaer County, New York",3.1,16.2,1.7,2.9,2.6,2.2,3.4,3.2,1.6,160070
"Richmond County, New York",1.6,15.4,1.4,1.9,1.6,1.8,4.9,4.9,1.7,476015
"Rockland County, New York",2.0,18.7,1.6,2.4,1.7,2.8,2.7,3.4,1.2,326780
"St. Lawrence County, New York",2.3,14.7,2.2,3.2,2.9,4.2,6.5,7.5,4.3,110038
"Saratoga County, New York",2.2,18.1,1.1,2.2,1.6,1.9,1.0,1.2,0.8,227053
"Schenectady County, New York",2.6,12.3,2.6,2.9,3.3,6.3,4.5,6.4,4.3,154553
"Steuben County, New York",2.2,11.6,1.9,2.5,2.8,2.2,4.5,5.9,3.2,96940
"Suffolk County, New York",1.0,17.2,0.7,1.2,0.9,0.9,3.5,3.8,0.8,1492583
"Sullivan County, New York",3.0,14.0,4.0,3.1,4.8,3.7,7.3,4.4,4.2,74801
"Tompkins County, New York",3.9,30.4,2.2,5.0,3.0,3.5,5.1,3.5,1.9,104871
"Ulster County, New York",2.4,17.0,1.7,2.8,2.4,2.2,4.6,4.4,1.6,179225
"Warren County, New York",4.2,15.2,2.1,4.4,2.2,6.8,2.4,1.4,1.1,64567
"Wayne County, New York",2.6,11.9,2.4,3.4,2.2,4.3,1.6,2.7,3.3,90798
"Westchester County, New York",1.2,24.2,1.1,1.3,1.4,1.6,3.9,4.4,1.0,974542
"Alamance County, North Carolina",2.0,7.3,2.2,2.2,3.9,2.2,2.5,2.4,2.0,159688
"Brunswick County, North Carolina",2.7,7.5,1.8,3.7,2.7,2.2,5.2,6.5,5.0,126953
"Buncombe County, North Carolina",2.5,15.1,1.6,2.7,2.7,3.1,5.3,5.1,2.4,256088
"Burke County, North Carolina",2.0,5.1,3.3,2.4,5.2,3.6,1.8,1.2,1.6,88851
"Cabarrus County, North Carolina",2.5,12.6,1.7,2.6,2.6,2.6,2.3,3.3,2.0,201590
"Caldwell County, North Carolina",2.6,5.2,4.2,3.0,8.0,6.7,2.4,0.8,1.1,81449
"Carteret County, North Carolina",2.6,11.2,2.4,3.1,3.9,3.5,6.0,6.8,4.1,68890
"Catawba County, North Carolina",2.6,8.1,1.9,2.9,3.3,2.8,3.7,4.4,3.2,156459
"Chatham County, North Carolina",4.1,19.6,3.4,5.0,3.8,6.3,5.0,5.2,3.3,72243
"Cleveland County, North Carolina",3.0,9.8,3.6,3.5,3.9,5.7,8.6,9.4,6.6,97144
"Craven County, North Carolina",3.7,8.6,2.9,4.4,5.4,2.7,2.4,3.1,2.8,103445
"Cumberland County, North Carolina",1.9,8.9,1.2,2.5,1.8,2.1,5.1,6.1,2.3,327127
"Davidson County, North Carolina",2.1,5.3,2.0,2.7,3.4,3.8,4.4,4.9,2.7,164926
"Durham County, North Carolina",2.2,22.4,1.7,2.8,2.7,3.3,6.7,6.5,2.4,306212
"Forsyth County, North Carolina",1.6,12.8,1.5,1.8,1.9,3.5,6.2,7.1,2.2,371511
"Gaston County, North Carolina",2.2,6.0,1.6,2.4,2.6,2.1,4.9,6.3,2.7,216965
"Guilford County, North Carolina",1.6,12.6,1.3,1.9,1.8,2.9,5.2,6.3,2.0,521330
"Harnett County, North Carolina",2.3,7.7,3.2,2.8,3.1,3.3,6.0,9.0,4.3,130881
"Henderson County, North Carolina",2.7,10.8,2.2,3.2,4.4,2.7,4.1,4.5,2.4,114209
"Iredell County, North Carolina",2.4,7.6,1.7,2.7,2.5,2.3,2.5,2.6,1.4,172916
"Johnston County, North Carolina",2.7,7.1,2.4,2.6,3.9,5.4,3.4,5.7,3.7,191450
"Lincoln County, North Carolina",3.4,7.3,3.3,4.0,3.7,6.0,6.4,5.2,5.5,81168
"Mecklenburg County, North Carolina",1.4,14.7,0.7,1.5,1.2,2.0,3.0,3.0,0.6,1054835
"Moore County, North Carolina",3.6,11.6,2.1,4.0,3.4,6.5,0.9,1.1,1.4,95776
"Nash County, North Carolina",2.8,9.4,3.4,4.0,3.4,9.8,2.7,2.8,2.9,94005
"New Hanover County, North Carolina",2.6,12.5,1.6,2.9,1.9,4.7,8.7,7.7,3.4,223483
"Onslow County, North Carolina",2.8,6.1,2.1,2.7,5.3,4.3,4.0,5.2,3.6,187136
"Orange County, North Carolina",3.0,31.2,1.9,3.9,2.9,4.4,4.8,5.3,2.4,141796
"Pitt County, North Carolina",3.1,13.2,2.3,3.8,3.7,3.7,5.0,5.1,2.7,177220
"Randolph County, North Carolina",2.5,4.6,2.2,2.6,3.6,3.7,2.2,2.7,1.7,143416
"Robeson County, North Carolina",1.6,4.8,1.8,1.7,2.5,4.9,5.5,5.6,3.2,133235
"Rockingham County, North Carolina",1.9,5.1,3.9,2.4,5.2,4.4,3.8,4.9,4.6,91393
"Rowan County, North Carolina",2.7,6.0,2.7,3.0,3.9,2.4,3.2,1.1,1.2,139933
"Rutherford County, North Carolina",4.3,7.3,4.5,4.6,6.0,7.7,3.6,5.4,5.6,66421
"Surry County, North Carolina",2.5,4.7,3.8,3.2,4.8,4.6,5.4,2.5,2.4,72113
"Union County, North Carolina",2.5,10.6,2.0,2.5,2.9,3.4,2.3,2.5,1.3,226606
"Wake County, North Carolina",1.3,19.2,0.6,1.4,1.0,1.3,3.2,3.0,0.6,1046791
"Wayne County, North Carolina",2.5,6.6,3.2,3.2,4.1,4.6,1.1,1.9,2.0,124150
"Wilkes County, North Carolina",3.0,5.4,3.8,3.2,5.5,6.5,1.3,0.0,4.1,68740
"Wilson County, North Carolina",2.8,6.2,2.9,4.0,4.4,5.3,6.9,7.1,6.8,81661
"Burleigh County, North Dakota",3.7,6.3,2.4,4.2,2.6,3.9,1.5,1.7,1.7,94487
"Cass County, North Dakota",3.5,14.2,1.6,3.7,3.2,4.7,1.8,1.5,1.6,175249
"Grand Forks County, North Dakota",3.9,10.0,1.8,4.1,2.3,3.5,8.6,5.5,4.1,71083
"Ward County, North Dakota",3.7,8.5,3.1,4.0,3.6,5.6,2.0,0.7,0.9,70210
"Allen County, Ohio",1.8,6.7,2.7,2.2,2.7,3.8,3.3,3.1,2.7,103742
"Ashtabula County, Ohio",1.8,5.6,3.2,2.6,4.9,5.7,5.0,4.7,3.6,98231
"Athens County, Ohio",3.8,13.1,3.1,4.8,4.6,10.8,9.2,11.4,7.8,66186
"Belmont County, Ohio",2.9,6.3,2.4,3.5,2.7,6.6,4.4,7.4,7.6,68673
"Butler County, Ohio",1.8,10.0,1.4,2.1,2.2,2.8,1.8,1.8,0.8,377537
"Clark County, Ohio",1.8,6.0,2.1,2.3,3.2,3.1,3.7,3.8,2.7,134786
"Clermont County, Ohio",2.4,10.0,1.8,2.3,1.8,2.9,3.9,3.4,2.0,203022
"Columbiana County, Ohio",2.0,4.3,2.0,2.7,2.9,6.7,4.5,1.7,2.2,103685
"Cuyahoga County, Ohio",0.8,12.6,0.7,0.9,0.9,1.6,4.8,5.6,0.9,1249352
"Delaware County, Ohio",2.6,20.1,1.5,2.4,1.8,2.0,2.5,2.0,1.1,196463
"Erie County, Ohio",3.2,8.8,2.2,4.2,3.2,5.9,1.7,3.1,3.2,75107
"Fairfield County, Ohio",2.1,10.0,1.9,3.2,2.9,2.5,1.1,0.7,0.7,152597
"Franklin County, Ohio",1.2,14.0,0.6,1.4,0.9,1.8,4.6,4.5,0.9,1264518
"Geauga County, Ohio",3.5,12.5,2.4,4.0,3.3,3.7,1.5,1.3,1.4,94060
"Greene County, Ohio",2.8,14.6,1.6,3.0,2.6,3.8,3.2,2.9,1.6,164765
"Hamilton County, Ohio",1.2,15.1,0.9,1.2,1.3,2.5,4.1,4.6,1.0,809099
"Hancock County, Ohio",4.0,9.8,1.8,4.8,3.1,4.5,3.2,2.9,4.4,75872
"Jefferson County, Ohio",2.4,5.1,3.0,2.8,3.6,3.8,2.3,2.9,2.4,66704
"Lake County, Ohio",2.1,11.9,1.2,2.5,1.9,2.6,3.0,2.6,1.5,228614
"Licking County, Ohio",2.5,9.4,1.8,3.0,2.8,3.6,1.9,1.3,1.2,172198
"Lorain County, Ohio",1.8,9.6,1.3,1.8,2.1,2.2,2.3,2.5,1.3,306365
"Lucas County, Ohio",1.3,10.5,1.2,1.6,1.4,3.0,6.0,7.3,2.2,432488
"Mahoning County, Ohio",2.1,8.2,1.3,2.3,2.2,3.8,5.8,5.8,2.1,230008
"Marion County, Ohio",2.6,5.1,3.6,3.1,4.6,5.7,0.0,0.0,5.7,65096
"Medina County, Ohio",2.4,11.2,1.3,2.7,1.7,3.1,2.4,2.7,1.8,177221
"Miami County, Ohio",2.2,9.5,2.6,3.1,4.4,3.7,1.3,0.2,0.3,104679
"Montgomery County, Ohio",1.3,9.3,1.3,1.6,1.8,2.7,4.5,4.7,1.5,531239
"Muskingum County, Ohio",2.0,6.0,2.5,2.5,4.5,4.0,6.4,8.3,5.8,86068
"Portage County, Ohio",2.8,13.5,2.0,3.5,2.9,3.5,7.1,6.9,3.3,161921
"Richland County, Ohio",1.6,6.5,2.4,2.1,2.5,4.1,3.0,3.2,2.7,121107
"Ross County, Ohio",2.1,5.6,2.6,2.6,4.1,4.2,2.7,3.1,4.1,77000
"Scioto County, Ohio",2.3,6.7,3.5,2.8,3.9,7.4,2.0,3.6,5.4,76088
"Stark County, Ohio",1.7,9.5,1.0,2.0,1.4,2.2,2.8,2.6,1.2,373612
"Summit County, Ohio",1.2,11.6,1.0,1.5,1.2,2.4,4.0,5.4,1.5,540300
"Trumbull County, Ohio",2.0,6.6,1.6,2.3,2.2,4.0,3.0,4.1,2.4,201825
"Tuscarawas County, Ohio",3.1,7.0,3.1,3.6,5.2,2.9,2.8,0.5,0.9,92420
"Warren County, Ohio",2.8,15.1,1.2,3.2,1.3,2.3,2.4,2.3,1.5,227063
"Wayne County, Ohio",2.2,7.8,2.2,2.6,3.4,3.1,2.8,4.0,2.6,116470
"Wood County, Ohio",2.4,16.3,2.1,3.4,2.3,3.6,2.6,3.6,3.0,130219
"Canadian County, Oklahoma",3.1,5.4,2.1,3.4,2.5,2.7,1.4,0.7,1.1,136532
"Cleveland County, Oklahoma",2.6,11.8,1.3,2.8,2.1,2.0,5.7,6.1,2.3,278655
"Comanche County, Oklahoma",2.3,7.3,2.3,3.1,3.8,5.8,5.7,4.9,3.0,122136
"Creek County, Oklahoma",2.4,4.1,2.4,2.8,3.8,3.4,3.3,3.5,2.9,71312
"Muskogee County, Oklahoma",3.2,4.7,2.6,4.3,4.9,5.8,10.5,9.5,5.4,69477
"Oklahoma County, Oklahoma",1.4,11.1,1.0,1.4,1.8,1.7,4.1,4.9,1.3,782970
"Payne County, Oklahoma",3.6,18.7,3.1,5.0,6.1,8.6,10.7,10.0,5.2,81131
"Pottawatomie County, Oklahoma",2.1,5.8,2.1,2.5,3.4,3.6,3.5,5.8,3.7,72290
"Rogers County, Oklahoma",2.4,8.7,1.3,2.6,1.9,1.8,1.1,0.9,0.8,91766
"Tulsa County, Oklahoma",1.1,9.8,0.7,1.3,1.2,1.2,4.1,4.4,0.9,642940
"Wagoner County, Oklahoma",2.9,8.0,2.0,3.2,2.5,2.6,2.3,2.1,1.9,77679
"Benton County, Oregon",4.8,24.7,1.4,4.7,2.4,6.4,9.5,10.9,4.0,89385
"Clackamas County, Oregon",1.6,12.7,1.2,1.9,1.7,2.3,3.7,4.3,1.4,408062
"Deschutes County, Oregon",2.7,12.2,1.9,3.3,3.2,3.4,4.6,2.6,1.8,181307
"Douglas County, Oregon",2.4,6.2,2.3,3.7,2.9,3.9,4.9,7.3,5.4,108457
"Jackson County, Oregon",2.2,9.6,2.0,2.4,2.7,4.0,5.6,6.6,2.7,216527
"Josephine County, Oregon",3.1,5.7,3.1,4.3,6.9,7.3,8.1,11.6,7.4,85904
"Klamath County, Oregon",2.5,7.9,3.0,2.9,6.5,5.2,4.3,3.1,3.4,66443
"Lane County, Oregon",1.6,10.5,1.3,2.0,2.2,2.1,6.5,7.2,1.9,369519
"Linn County, Oregon",3.5,8.1,1.8,3.7,2.0,3.3,3.9,4.1,2.7,122849
"Marion County, Oregon",1.8,8.0,1.8,2.2,2.7,2.0,4.2,3.9,2.2,336316
"Multnomah County, Oregon",1.4,19.0,0.9,1.7,1.6,2.0,5.9,6.6,1.1,799766
"Polk County, Oregon",3.9,12.8,2.6,4.9,5.0,4.8,3.4,5.5,5.2,81823
"Umatilla County, Oregon",2.5,7.5,4.0,3.4,7.0,7.5,4.9,5.7,5.4,76456
"Washington County, Oregon",1.4,15.9,1.0,1.7,1.7,1.9,3.6,4.7,1.0,582779
"Yamhill County, Oregon",2.9,8.4,2.4,3.4,3.9,3.1,3.3,4.7,3.0,105035
"Adams County, Pennsylvania",2.2,8.8,2.0,2.7,3.3,2.9,2.9,3.3,2.1,102180
"Allegheny County, Pennsylvania",1.0,16.2,0.5,1.0,0.7,1.4,3.7,4.1,0.6,1225365
"Armstrong County, Pennsylvania",2.1,5.4,2.1,2.8,4.2,2.9,6.9,6.3,3.5,66486
"Beaver County, Pennsylvania",2.3,9.3,1.4,2.8,1.2,2.8,1.8,1.5,1.2,167429
"Berks County, Pennsylvania",1.7,9.9,1.5,1.7,1.9,1.9,4.1,4.6,2.1,414812
"Blair County, Pennsylvania",2.6,5.4,1.9,2.8,3.1,2.6,4.5,4.5,2.9,124650
"Bucks County, Pennsylvania",1.4,15.7,0.6,1.6,1.1,1.1,3.3,3.0,0.9,626399
"Butler County, Pennsylvania",2.4,14.0,1.1,2.3,1.9,1.3,2.1,2.5,1.4,186847
"Cambria County, Pennsylvania",1.6,8.8,1.6,2.3,2.1,3.0,4.4,4.6,2.2,134732
"Carbon County, Pennsylvania",3.4,6.1,4.3,3.9,2.9,3.9,7.4,7.7,6.3,63594
"Centre County, Pennsylvania",3.8,20.7,1.2,3.3,1.9,1.9,4.8,3.2,1.8,161464
"Chester County, Pennsylvania",1.5,20.4,0.8,1.4,1.2,1.8,2.3,3.4,1.1,516312
"Clearfield County, Pennsylvania",1.9,7.0,2.3,2.3,3.4,4.9,4.1,1.8,1.8,80596
"Columbia County, Pennsylvania",3.3,9.9,2.7,3.6,3.0,3.6,4.5,5.0,3.6,66420
"Crawford County, Pennsylvania",2.3,10.8,1.6,2.5,2.0,3.8,2.9,3.1,2.6,86257
"Cumberland County, Pennsylvania",2.3,12.9,1.6,2.5,2.3,2.3,2.8,2.9,1.3,248506
"Dauphin County, Pennsylvania",1.9,11.4,1.3,2.5,2.1,1.8,3.5,3.5,1.7,273707
"Delaware County, Pennsylvania",1.5,16.4,0.9,1.7,0.9,2.1,3.5,3.8,1.1,563402
"Erie County, Pennsylvania",2.0,10.5,1.2,2.5,1.9,2.8,5.0,7.2,3.0,276207
